"Use of externally-controlled format string","Using external input in format strings can lead to garbled output.","warning","[[""User-provided value""|""relative:///1.js:10:22:10:28""]] flows here and is used in a format string.","/1.js","21","17","21","19"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///1.js:10:22:10:28""]].","/1.js","29","21","29","29"
"Network data written to file","Writing network data directly to the file system allows arbitrary file upload and might indicate a backdoor.","warning","[[""Untrusted data""|""relative:///1.js:11:26:11:32""]] flows to file system","/1.js","27","34","27","45"
