
/src/examples/lib/example.js
  6:985    warning  Unsafe Regular Expression              security/detect-unsafe-regex
  6:2109   warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:2534   warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:3017   warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  6:3889   warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:4202   warning  Generic Object Injection Sink          security/detect-object-injection
  6:4586   warning  Generic Object Injection Sink          security/detect-object-injection
  6:4593   warning  Generic Object Injection Sink          security/detect-object-injection
  6:5196   warning  Generic Object Injection Sink          security/detect-object-injection
  6:6283   warning  Function Call Object Injection Sink    security/detect-object-injection
  6:7350   warning  Generic Object Injection Sink          security/detect-object-injection
  6:7624   warning  Generic Object Injection Sink          security/detect-object-injection
  6:8974   warning  Generic Object Injection Sink          security/detect-object-injection
  6:9351   warning  Generic Object Injection Sink          security/detect-object-injection
  6:9565   warning  Generic Object Injection Sink          security/detect-object-injection
  6:10516  warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:11292  warning  Unsafe Regular Expression              security/detect-unsafe-regex
  6:12572  warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:12775  warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:13246  warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:14237  warning  Generic Object Injection Sink          security/detect-object-injection
  6:14332  warning  Generic Object Injection Sink          security/detect-object-injection
  6:14519  warning  Generic Object Injection Sink          security/detect-object-injection
  6:14700  warning  Generic Object Injection Sink          security/detect-object-injection
  6:14715  warning  Generic Object Injection Sink          security/detect-object-injection
  6:14842  warning  Generic Object Injection Sink          security/detect-object-injection
  6:15208  warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:15310  warning  Generic Object Injection Sink          security/detect-object-injection
  6:15416  warning  Generic Object Injection Sink          security/detect-object-injection
  6:15509  warning  Generic Object Injection Sink          security/detect-object-injection
  6:15922  warning  Generic Object Injection Sink          security/detect-object-injection
  6:16049  warning  Generic Object Injection Sink          security/detect-object-injection
  6:16063  warning  Generic Object Injection Sink          security/detect-object-injection
  6:16089  warning  Generic Object Injection Sink          security/detect-object-injection
  6:17347  warning  Generic Object Injection Sink          security/detect-object-injection
  6:17437  warning  Generic Object Injection Sink          security/detect-object-injection
  6:17804  warning  Generic Object Injection Sink          security/detect-object-injection
  6:17870  warning  Generic Object Injection Sink          security/detect-object-injection
  6:17888  warning  Generic Object Injection Sink          security/detect-object-injection
  6:17924  warning  Function Call Object Injection Sink    security/detect-object-injection
  6:17970  warning  Generic Object Injection Sink          security/detect-object-injection
  6:18062  warning  Generic Object Injection Sink          security/detect-object-injection
  6:18282  warning  Generic Object Injection Sink          security/detect-object-injection
  6:18314  warning  Generic Object Injection Sink          security/detect-object-injection
  6:18474  warning  Generic Object Injection Sink          security/detect-object-injection
  6:18641  warning  Generic Object Injection Sink          security/detect-object-injection
  6:18982  warning  Generic Object Injection Sink          security/detect-object-injection
  6:19022  warning  Generic Object Injection Sink          security/detect-object-injection
  6:19199  warning  Generic Object Injection Sink          security/detect-object-injection
  6:19199  warning  Generic Object Injection Sink          security/detect-object-injection
  6:19224  warning  Generic Object Injection Sink          security/detect-object-injection
  6:19224  warning  Generic Object Injection Sink          security/detect-object-injection
  6:21175  warning  Generic Object Injection Sink          security/detect-object-injection
  6:21256  warning  Generic Object Injection Sink          security/detect-object-injection
  6:21263  warning  Generic Object Injection Sink          security/detect-object-injection
  6:23786  warning  Generic Object Injection Sink          security/detect-object-injection
  6:23885  warning  Generic Object Injection Sink          security/detect-object-injection
  6:24420  warning  Generic Object Injection Sink          security/detect-object-injection
  6:24559  warning  Generic Object Injection Sink          security/detect-object-injection
  6:24813  warning  Function Call Object Injection Sink    security/detect-object-injection
  6:26124  warning  Generic Object Injection Sink          security/detect-object-injection
  6:26254  warning  Generic Object Injection Sink          security/detect-object-injection
  6:27700  warning  Generic Object Injection Sink          security/detect-object-injection
  6:27784  warning  Generic Object Injection Sink          security/detect-object-injection
  6:28465  warning  Generic Object Injection Sink          security/detect-object-injection
  6:28502  warning  Generic Object Injection Sink          security/detect-object-injection
  6:28530  warning  Generic Object Injection Sink          security/detect-object-injection
  6:28939  warning  Generic Object Injection Sink          security/detect-object-injection
  6:29159  warning  The function hide can be unsafe        scanjs-rules/call_hide
  6:29254  warning  Generic Object Injection Sink          security/detect-object-injection
  6:29360  warning  Generic Object Injection Sink          security/detect-object-injection
  6:29453  warning  Generic Object Injection Sink          security/detect-object-injection
  6:31032  warning  The function setTimeout can be unsafe  scanjs-rules/call_setTimeout
  6:31529  warning  Generic Object Injection Sink          security/detect-object-injection
  6:31657  warning  Generic Object Injection Sink          security/detect-object-injection
  6:31711  warning  Generic Object Injection Sink          security/detect-object-injection
  6:32156  warning  Generic Object Injection Sink          security/detect-object-injection
  7:168    warning  Generic Object Injection Sink          security/detect-object-injection
  7:294    warning  Function Call Object Injection Sink    security/detect-object-injection
  7:401    warning  Generic Object Injection Sink          security/detect-object-injection
  7:428    warning  Generic Object Injection Sink          security/detect-object-injection
  7:458    warning  Generic Object Injection Sink          security/detect-object-injection

/src/spec/viz/examples.js
  13:17  warning  Variable Assigned to Object Injection Sink          security/detect-object-injection
  29:3   warning  Found fs.open with non literal argument at index 0  security/detect-non-literal-fs-filename

✖ 186 problems (0 errors, 186 warnings)

