"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\""'.","/mithril.js","76","74","76","89"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\""'.","/render/hyperscript.js","6","74","6","89"
"Shell command built from environment values","Building a shell command string with values from the enclosing environment may cause subtle bugs or vulnerabilities.","warning","This shell command depends on an uncontrolled [[""absolute path""|""relative:///bundler/bundle.js:48:11:48:88""]].
This shell command depends on an uncontrolled [[""absolute path""|""relative:///bundler/bundle.js:52:11:52:64""]].
This shell command depends on an uncontrolled [[""absolute path""|""relative:///bundler/bundle.js:109:21:109:39""]].","/bundler/bundle.js","60","14","60","31"
"Useless regular-expression character escape","Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.","error","The escape sequence '\s' is equivalent to just 's', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///bundler/bundle.js:75:29:75:75""]].","/bundler/bundle.js","75","71","75","72"
"Indirect uncontrolled command line","Forwarding command-line arguments to a child process executed within a shell may indirectly introduce command-line injection vulnerabilities.","warning","This command depends on an unsanitized [[""command-line argument""|""relative:///bundler/cli.js:12:12:12:23""]].","/bundler/bundle.js","60","14","60","31"
"File data in outbound network request","Directly sending file data in an outbound network request can indicate unauthorized information disclosure.","warning","[[""File data""|""relative:///docs/lint.js:180:47:180:50""]] flows directly to outbound network request","/docs/lint.js","95","17","95","74"
